   0000000000000000002                   000000000010   000000000002                  2
   0000000000000000006                   000000000010   000000000004                  4
   0000000000000000012                   000000000010   000000000006                  6
   0000000000000000020                   000000000010   000000000008                  8
   0000000000000000030                   000000000010   000000000010                 10
   0000000000000000012                   000000000020   000000000012                 12
   0000000000000000026                   000000000020   000000000014                 14
   0000000000000000042                   000000000020   000000000016                 16
   0000000000000000060                   000000000020   000000000018                 18
   0000000000000000080                   000000000020   000000000020                 20
