                   1   000000000001   000000000005
                   2   000000000002   000000000005
                   6   000000000003   000000000005
                  24   000000000004   000000000005
                 120   000000000005   000000000005
                   1   000000000001   000000000001
                   1   000000000001   000000000006
                   2   000000000002   000000000006
                   6   000000000003   000000000006
                  24   000000000004   000000000006
                 120   000000000005   000000000006
                 720   000000000006   000000000006
